ranker,budget_ratio,frontier_page_ratio,draft_offset,num_rows,num_samples,candidate_recall_of_full_query_pages,restricted_page_recall_vs_full_query,attention_recovery_vs_full_query,attention_recovery_vs_oracle,full_query_recovery_vs_oracle,candidate_oracle_upper_bound_recovery,near_full_query_mass_rate,near_full_query_joint_rate
previous_terminal_attention,0.1,0.01,6,16800,21,0.7546924613025926,0.7546924613025926,0.9348697242809328,0.8916648509258124,0.9623024345629233,0.9076724632326558,0.7339880952380953,0.592202380952381
previous_terminal_attention,0.1,0.01,7,16800,21,0.7452976200516734,0.7452976200516734,0.9278986275896541,0.8868673375069899,0.9635957309131382,0.9021478437035366,0.7227976190476191,0.5792261904761905
previous_terminal_attention,0.1,0.01,8,16800,21,0.7378670645345534,0.7378670645345534,0.9273250874289287,0.886505061838623,0.9639410834091207,0.9009072709596955,0.7153571428571428,0.565297619047619
previous_terminal_attention,0.1,0.02,1,16800,21,0.8370833340801653,0.8370833340801653,0.9697442450079702,0.9279212740061499,0.9640899411912597,0.9467000527428872,0.8448809523809524,0.7297023809523809
previous_terminal_attention,0.1,0.02,2,16800,21,0.8046031754623566,0.8046031754623566,0.9581035332359654,0.9138722603474908,0.9632677930966982,0.9305347282515446,0.799702380952381,0.6756547619047619
previous_terminal_attention,0.1,0.02,3,16800,21,0.7836507945596463,0.7836507945596463,0.9483757334546178,0.9036342159216724,0.9617649870703824,0.9213758793099635,0.7726785714285714,0.6423809523809524
previous_terminal_attention,0.1,0.02,4,16800,21,0.7717956358762015,0.7717956358762015,0.9428253738334487,0.899366567036678,0.9620474899605929,0.9161677239282728,0.7575,0.6200595238095238
previous_terminal_attention,0.1,0.02,5,16800,21,0.7636011914536357,0.7636011914536357,0.9414770933457475,0.8975761271157182,0.9627760756917166,0.9138667653338107,0.7489285714285714,0.6076190476190476
previous_terminal_attention,0.1,0.02,6,16800,21,0.7546924613025926,0.7546924613025926,0.9348697242809328,0.8916648509258124,0.9623024345629233,0.9076724632326558,0.7339880952380953,0.592202380952381
previous_terminal_attention,0.1,0.02,7,16800,21,0.7452976200516734,0.7452976200516734,0.9278986275896541,0.8868673375069899,0.9635957309131382,0.9021478437035366,0.7227976190476191,0.5792261904761905
previous_terminal_attention,0.1,0.02,8,16800,21,0.7378670645345534,0.7378670645345534,0.9273250874289287,0.886505061838623,0.9639410834091207,0.9009072709596955,0.7153571428571428,0.565297619047619
previous_terminal_attention,0.1,0.05,1,16800,21,0.8423412703811413,0.8423412703811413,0.9707337201024282,0.9289165868000477,0.9640899411912597,0.9480750127351542,0.8511904761904762,0.741904761904762
previous_terminal_attention,0.1,0.05,2,16800,21,0.8100396832220611,0.8100396832220611,0.9596627379516925,0.9154216040775752,0.9632677930966982,0.9325212067533938,0.8055952380952381,0.6870238095238095
previous_terminal_attention,0.1,0.05,3,16800,21,0.7892658737816272,0.7892658737816272,0.9506081486991198,0.9058222070237553,0.9617649870703824,0.9239547842233518,0.7798809523809523,0.652797619047619
previous_terminal_attention,0.1,0.05,4,16800,21,0.777886905535346,0.777886905535346,0.9450739421013663,0.9015761789353637,0.9620474899605929,0.9187311417004624,0.7658928571428572,0.6322619047619048
previous_terminal_attention,0.1,0.05,5,16800,21,0.7698313499951647,0.7698313499951647,0.9435220454981559,0.8995787947710137,0.9627760756917166,0.916374651011299,0.7576190476190476,0.6201785714285715
previous_terminal_attention,0.1,0.05,6,16800,21,0.760922619861861,0.760922619861861,0.9371865817289495,0.8939838563616559,0.9623024345629233,0.9105294010472305,0.7430357142857142,0.6041666666666666
previous_terminal_attention,0.1,0.05,7,16800,21,0.7508928579872562,0.7508928579872562,0.9299540049039503,0.8889034391664726,0.9635957309131382,0.9045703778711224,0.7320833333333333,0.5901785714285714
previous_terminal_attention,0.1,0.05,8,16800,21,0.7437996040763599,0.7437996040763599,0.929515554049537,0.8886569803442265,0.9639410834091207,0.9035520296590783,0.7235714285714285,0.575952380952381
