sample_id,dataset_name,method,input_length,round_id,round_start_length,round_start_pages,budget_pages,draft_length,accepted_length,all_accepted,zero_accepted,generated_tokens_so_far,probe_query_count,probe_endpoint_coverage_vs_per_query_attention_oracle,probe_best_static_coverage_vs_per_query_attention_oracle,probe_endpoint_fraction_of_eligible_attention,probe_best_static_fraction_of_eligible_attention,probe_best_static_absolute_coverage_gain,fixed_reference_recall_of_query_pages_pos_1,fixed_reference_recall_of_query_pages_pos_2,fixed_reference_recall_of_query_pages_pos_3,fixed_reference_recall_of_query_pages_pos_4,fixed_reference_recall_of_query_pages_pos_5,fixed_reference_recall_of_query_pages_pos_6,fixed_reference_recall_of_query_pages_pos_7,fixed_reference_recall_of_query_pages_pos_8,oracle_overlap_pos_1_2,oracle_overlap_pos_2_3,oracle_overlap_pos_3_4,oracle_overlap_pos_4_5,oracle_overlap_pos_5_6,oracle_overlap_pos_6_7,oracle_overlap_pos_7_8,oracle_overlap_pos_1_last,attention_recovery_pos_1,attention_recovery_pos_2,attention_recovery_pos_3,attention_recovery_pos_4,attention_recovery_pos_5,attention_recovery_pos_6,attention_recovery_pos_7,attention_recovery_pos_8
2wikimqa-151,2wikimqa,static,8192,4,8210,514,52,8,8,1,0,27,,,,,,,0.8258046207264957,0.779296875,0.7694644764957265,0.7462272970085471,0.7633713942307693,0.7417534722222222,0.7296841613247863,0.7123898237179487,0.7009883867429094,0.6488517137779187,0.596021405791118,0.6550068532782476,0.6709120560311627,0.660808546391781,0.636781735287928,0.5733593812771345,0.9659016395503289,0.960111316170313,0.9540687451357258,0.9612803380957415,0.9591748263850478,0.9535872008518846,0.9518093527827587,0.9483270969167746
2wikimqa-151,2wikimqa,static,8192,5,8219,514,52,8,7,0,0,35,,,,,,,0.8489917200854701,0.7753739316239316,0.7626702724358974,0.7512353098290598,0.6829427083333334,0.7387820512820513,0.7227731036324786,0.6664329594017094,0.6565385600787017,0.6689350285881742,0.6693488266111852,0.5438922038992113,0.5223292929491693,0.5985969065974229,0.5856753895252697,0.5086731781775037,0.9863136137759406,0.9704454412475843,0.9714951830111267,0.9631018409922036,0.916363791790243,0.9598791557453301,0.8910325826920469,0.7984447127218333
2wikimqa-151,2wikimqa,static,8192,6,8227,515,52,8,8,1,0,44,,,,,,,0.8341846955128206,0.7820345886752137,0.7847222222222222,0.7686631944444444,0.7771434294871794,0.7894130608974359,0.7795973557692307,0.7626702724358974,0.6782978337801209,0.6291585068324248,0.62194948318626,0.6960736265129994,0.7069467675555532,0.699209884468048,0.6957662743983648,0.6074923676134881,0.9811144389232186,0.9789534938134214,0.9611338930752282,0.9711648957456932,0.9813147090916006,0.9727596405346834,0.9755082901753459,0.9641529055429573
2wikimqa-151,2wikimqa,static,8192,7,8236,515,52,8,5,0,0,50,,,,,,,0.8260717147435898,0.8202457264957265,0.8145032051282051,0.8035857371794872,0.8066740117521367,0.7502337072649572,0.6790698450854701,0.7232739049145299,0.6864194850328073,0.689285217055373,0.7040069854457918,0.6833537212762572,0.6340194275925048,0.5915991927304254,0.5762379159879736,0.5348658022310796,0.9705409774862491,0.9778127922956834,0.9793092191690366,0.971773770504886,0.9814486816688563,0.9099142565050339,0.8061218123616416,0.8072187567642006
2wikimqa-151,2wikimqa,static,8192,8,8242,516,52,8,8,1,0,59,,,,,,,0.8735977564102564,0.8427984775641026,0.7954727564102564,0.7953559027777778,0.8021000267094016,0.7934027777777778,0.7884615384615384,0.7755241720085471,0.7299612617436892,0.6907291051954214,0.6507865716777512,0.7082849442143121,0.691365001442843,0.7603121927539345,0.6567736129758868,0.6019213339130557,0.9908284606630016,0.9854870521774686,0.9716167540127147,0.9571311901623036,0.9670178143965192,0.9713194868846143,0.9725730134982279,0.947651650576362
2wikimqa-151,2wikimqa,static,8192,9,8251,516,52,5,5,0,0,64,,,,,,,0.8741319444444444,0.819027110042735,0.8180588942307693,0.7817341079059829,0.7971087072649572,,,,0.69440999779121,0.7421020214117208,0.7036311357212454,0.7336452366476781,,,,0.6437528435121627,0.9877607331840392,0.9828310542945826,0.9783588112422059,0.954063369526332,0.9686146887412898,,,
2wikimqa-151,2wikimqa,best_static_oracle,8192,1,8192,512,52,8,1,0,0,2,8,0.9690265838336751,0.9878897733588257,0.885657613105436,0.9028979320906041,0.01724031898516809,0.739833733974359,0.6968315972222222,0.6837106036324786,0.7415030715811965,0.6652310363247863,0.7189336271367521,0.654296875,0.6945446047008548,0.5477311520178847,0.6166735747441554,0.5454385132189181,0.5457290340121149,0.5515509854128378,0.5505502800657659,0.5576434546060534,0.5265509869658725,0.9825631166355703,0.8733723611675488,0.77561023185564,0.8009563034310498,0.6890098011294883,0.7079398580187078,0.6229117303825897,0.6312002592525441
2wikimqa-151,2wikimqa,best_static_oracle,8192,2,8194,513,52,8,8,1,0,11,8,0.9729921658415084,0.9907384333516774,0.900187427521656,0.9166058196309841,0.01641839210932805,0.7646233974358974,0.7792467948717949,0.8161224626068376,0.7774439102564102,0.8056056356837606,0.7902978098290598,0.8002637553418803,0.7909154647435898,0.6035218488849342,0.6224669202654388,0.6278248760600867,0.5810731908072692,0.6934381337956126,0.6999641722862827,0.7040768378552192,0.5760975194138112,0.9786041118568752,0.9835018711412723,0.9872357866002931,0.965164914542794,0.9910235384632932,0.9912188597240298,0.9898866529818743,0.9910271336379916
2wikimqa-151,2wikimqa,best_static_oracle,8192,3,8203,513,52,8,7,0,0,19,8,0.9414265237501036,0.990678940150032,0.8760814964640316,0.9219152706095033,0.04583377414547174,0.7809662126068376,0.7824185363247863,0.8188434829059829,0.8194277510683761,0.8139356303418803,0.8258213141025641,0.7591980502136751,0.7188334668803419,0.6603811407950686,0.6378974821878636,0.6855560643305756,0.6973788714939143,0.670373544473636,0.6142448243622036,0.697282749152342,0.5489775848136974,0.981740596495659,0.980750121363444,0.9900836233258344,0.9909386343617306,0.9888467124895652,0.9903206835551212,0.9007794364563827,0.8282825269031125
2wikimqa-151,2wikimqa,best_static_oracle,8192,4,8211,514,52,8,8,1,0,28,8,0.968440357636563,0.9921361098055529,0.9005247780218254,0.9225587750499086,0.022033997028083174,0.8062232905982906,0.7878772702991452,0.7932024572649572,0.8095285790598291,0.8085102831196581,0.794654780982906,0.7896968482905984,0.7858907585470085,0.6618028175507289,0.606859884484931,0.6621472611136864,0.6711529223620716,0.6434511318678636,0.6228305995731158,0.6524801127477358,0.6045677006706008,0.9900700719092522,0.9834817081781657,0.9909383682479298,0.9885277034008007,0.9913338304508783,0.9845144984252912,0.9889364810933272,0.9885171456933457
